,Movie Name,Intial Release Date,Director,Star cast
0,The Godfather,(1972),Director:Francis Ford Coppola," Stars:Marlon Brando, Al Pacino, James Caan, Diane Keaton"
1,Schindler's List,(1993),Director:Steven Spielberg," Stars:Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
2,12 Angry Men,(1957),Director:Sidney Lumet," Stars:Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
3,La vita è bella,(1997),Director:Roberto Benigni," Stars:Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
4,"Il buono, il brutto, il cattivo",(1966),Director:Sergio Leone," Stars:Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè"
5,The Shawshank Redemption,(1994),Director:Frank Darabont," Stars:Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
6,The Pursuit of Happyness,(2006),Director:Gabriele Muccino," Stars:Will Smith, Thandiwe Newton, Jaden Smith, Brian Howe"
7,Shichinin no samurai,(1954),Director:Akira Kurosawa," Stars:Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
8,The Intouchables,(2011),"Directors:Olivier Nakache, Éric Toledano"," Stars:François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
9,Central do Brasil,(1998),Director:Walter Salles," Stars:Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra, Soia Lira"
10,Requiem for a Dream,(2000),Director:Darren Aronofsky," Stars:Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
11,A Beautiful Mind,(2001),Director:Ron Howard," Stars:Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer"
12,Hachi: A Dog's Tale,(2009),Director:Lasse Hallström," Stars:Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer"
13,Taken,(2008),Director:Pierre Morel," Stars:Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser"
14,Yeopgijeogin geunyeo,(2001),Director:Jae-young Kwak," Stars:Tae-Hyun Cha, Jun Ji-hyun, In-mun Kim, Song Wok-suk"
15,Amores perros,(2000),Director:Alejandro G. Iñárritu," Stars:Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero"
16,The Shining,(1980),Director:Stanley Kubrick," Stars:Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
17,Apocalypto,(2006),Director:Mel Gibson," Stars:Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood"
18,Gladiator,(2000),Director:Ridley Scott," Stars:Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
19,Cast Away,(2000),Director:Robert Zemeckis," Stars:Tom Hanks, Helen Hunt, Paul Sanchez, Lari White"
20,The Dark Knight,(2008),Director:Christopher Nolan," Stars:Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
21,The Pianist,(2002),Director:Roman Polanski," Stars:Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
22,Titanic,(1997),Director:James Cameron," Stars:Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
23,Bin-jip,(2004),Director:Kim Ki-duk," Stars:Seung-Yun Lee, Hee Jae, Hyuk-ho Kwon, Jin-mo Joo"
24,Braveheart,(1995),Director:Mel Gibson," Stars:Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
25,It's a Wonderful Life,(1946),Director:Frank Capra," Stars:James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell"
26,Bom yeoreum gaeul gyeoul geurigo bom,(2003),Director:Kim Ki-duk," Stars:Kim Ki-duk, Oh Yeong-su, Jong-ho Kim, Kim Young-min"
27,Alien,(1979),Director:Ridley Scott," Stars:Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
28,Salinui chueok,(2003),Director:Bong Joon Ho," Stars:Song Kang-ho, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song"
29,Vozvrashchenie,(2003),Director:Andrey Zvyagintsev," Stars:Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko, Nataliya Vdovina"
30,Ang-ma-reul bo-at-da,(2010),Director:Jee-woon Kim," Stars:Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun"
31,Bacheha-Ye aseman,(1997),Director:Majid Majidi," Stars:Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi"
32,Jodaeiye Nader az Simin,(2011),Director:Asghar Farhadi," Stars:Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini"
33,The Sixth Sense,(1999),Director:M. Night Shyamalan," Stars:Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams"
34,Nae meorisokui jiwoogae,(2004),Director:John H. Lee," Stars:Jung Woo-sung, Son Ye-jin, Jong-hak Baek, Seon-jin Lee"
35,Okuribito,(2008),Director:Yôjirô Takita," Stars:Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki, Kazuko Yoshiyuki"
36,Wo de fu qin mu qin,(1999),Director:Yimou Zhang," Stars:Ziyi Zhang, Honglei Sun, Hao Zheng, Yulian Zhao"
37,Saving Private Ryan,(1998),Director:Steven Spielberg," Stars:Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
38,The Bridge on the River Kwai,(1957),Director:David Lean," Stars:William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa"
39,Ben-Hur,(1959),Director:William Wyler," Stars:Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet"
40,The Exorcist,(1973),Director:William Friedkin," Stars:Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb"
41,El secreto de sus ojos,(2009),Director:Juan José Campanella," Stars:Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo"
42,Léon,(1994),Director:Luc Besson," Stars:Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
43,The Green Mile,(1999),Director:Frank Darabont," Stars:Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt"
44,Gran Torino,(2008),Director:Clint Eastwood," Stars:Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her"
45,Kill Bill: Vol. 1,(2003),Director:Quentin Tarantino," Stars:Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
46,Jurassic Park,(1993),Director:Steven Spielberg," Stars:Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
47,Terminator 2: Judgment Day,(1991),Director:James Cameron," Stars:Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
48,Back to the Future,(1985),Director:Robert Zemeckis," Stars:Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
49,Finding Nemo,(2003),"Directors:Andrew Stanton, Lee Unkrich"," Stars:Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe"
